step,pseudocode
1,INPUT observed data D and baseline scientific model M0
2,ESTIMATE baseline model performance and residual structure
3,ESTIMATE evidence quality Q from provenance and observation reliability
4,IF Q < 0.80: RETURN ABSTAIN
5,ESTIMATE case-specific parameter adequacy A
6,ESTIMATE structural counterfactual advantage G
7,IF G > 0.388612: candidate = REVISE
8,ELSE IF A < 1.039534: candidate = RECALIBRATE
9,ELSE: candidate = KEEP
10,EVALUATE candidate evidence across temporal periods
11,IF required temporal reproducibility is not satisfied:
12,    RETURN KEEP or ABSTAIN according to evidence sufficiency
13,RETURN final ETMR decision
